Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-.60000002,-1.88,.73000002,-1.47,-.52999997,.31,-1.5599999,-.47999999,-.61000001,-1.54,-.28,1.54
1.08,-3.45,-1.08,.98000002,.49000001,-.17,-2.9300001,-.97000003,.14,-1.88,1.46,-2.48
-1.13,.63,-2.3800001,.039999999,-1.14,-1.74,-1.71,-.36000001,.67000002,-.20999999,-1.0599999,-1.6
-.51999998,-3.54,.2,1.05,-3.97,.38999999,.17,-.99000001,-1.62,-.62,-.94,-1.5
-.11,-.5,3.1199999,-2.54,-3.79,-4.98,.31,-1.0599999,-.56999999,-1.22,-1.26,-3.79
-2.1300001,-3.05,-1.97,-2.73,.46000001,.75999999,-1.08,-1.29,-1.29,-2.1900001,-.72000003,.31999999
-.079999998,-2.3399999,.38999999,-.98000002,-.63999999,.0099999998,-.61000001,-1.17,.68000001,-3.1700001,-2.9200001,.25999999
-2.48,-.34,-1.77,-.44999999,-.11,-2.3399999,.27000001,-.75,-.5,-1.0700001,-.44,-.0099999998
-1.74,-.81,1.75,-2.98,-1.12,-.2,-.68000001,-1.12,-1.08,-1.76,-2.27,-2.5699999
1.33,1.98,-.76999998,-1.29,-3.3,-.56,-.47999999,-.97000003,-.33000001,-3.47,-.56,-.2
-1.3,-3.3099999,-.47999999,.20999999,-2.3099999,-4.6599998,2.77,-2.3199999,-.12,-.28,-.56,-2.48
-1.52,-2.04,-.029999999,-.18000001,-2.73,-3.1700001,1.71,-.07,-.75,-.029999999,-1.4400001,-.46000001
.18000001,-1.8099999,-2.23,-1.3200001,-3.1199999,-.98000002,-.36000001,-1.9299999,.30000001,1.38,-1.76,-1.2
-.16,-1.6799999,-1.58,1.1900001,-1.9400001,1.0599999,-1.63,-1.02,.16,-2.54,-2.04,-.18000001
-.2,-.76999998,-1.24,-.75999999,.050000001,.64999998,-.66000003,2.4000001,-.98000002,-1.48,.69999999,.0099999998
.60000002,-.81999999,.25,.49000001,-2.9100001,-1.65,-1.5700001,-2.05,1.36,1.76,-2.75,.73000002
-1.29,-1.36,-1.92,-.76999998,-.5,.090000004,1.86,-2.5599999,.43000001,.1,-.81,.1
-1.72,-.18000001,-1.4299999,-.0099999998,-1.42,-1.39,1.16,-.55000001,.88999999,-4.4899998,-.47,-1.1
-3.1300001,-1.27,-.22,-4.7199998,2.1199999,.07,.91000003,-1.3,-1.5599999,-2.0699999,-1.09,1.1900001
.94999999,-.51999998,-.66000003,2.0599999,-.07,-.54000002,1.74,-1.1900001,-1.74,-.19,-.18000001,1.6
-.28,3.1099999,-1.34,-1.89,-.16,-.72000003,-2.8299999,-1.9299999,-.15000001,-1.24,-.40000001,.2
2.96,-1.16,-1.5,-4.6500001,-1.77,-3.0699999,-.40000001,-.16,-.30000001,-.34,-2.3499999,1.24
-1.26,2.1300001,-2.3199999,-1.65,-1.9299999,-2.74,-1.2,1.64,-.28999999,-.66000003,.25,2.0699999
-1.05,-2.9100001,-.55000001,-.28,-1.5,-.49000001,-.18000001,.43000001,2.05,1.15,3.8800001,.55000001
1.35,-1.14,1.77,-.66000003,.27000001,-1.21,-.18000001,-2.8900001,-1.21,-.83999997,-.73000002,-1.8099999
.28,-2.8800001,.27000001,-2.6600001,-1.4400001,-2.3,-3.0999999,-1.13,-1.53,-.51999998,-1.12,-.27000001
-.87,-1.55,-1.17,-.029999999,-1.12,.46000001,-.029999999,-2.1700001,.99000001,-1.15,3.6900001,2.1700001
.33000001,-2.72,-.60000002,-.98000002,-1.37,-1,1.04,-1.26,-1.35,-.029999999,.44,-.14
.63999999,-.72000003,-1.45,-3.48,-1.21,-2.1099999,-1.05,-2.0699999,-1.61,2.46,-1.72,-1.3200001
-.13,.38,-1.6,1,-2.4400001,-.44,-1.13,-.76999998,-1.77,-1.84,.2,-.75
-.67000002,-.31999999,.43000001,-.15000001,-2.1199999,.99000001,.16,-1.4299999,-1.17,-1.7,-.61000001,.039999999
-1.1,-.33000001,-1.88,-1.28,.22,-1.01,-1.33,-2.25,-1.78,.23999999,-.77999997,-1.4
-1.63,-2.1600001,-1.25,-.30000001,-.23,-2,-2.1700001,-1.21,.72000003,-2.05,-.050000001,.81
.079999998,-.82999998,-1.28,-.50999999,1.25,-.51999998,1.04,-1.42,-.13,.54000002,-.99000001,.43000001
-1.1799999,-1.4,.07,-.20999999,-3.5999999,-.41,-3.3499999,.1,.039999999,-1.97,-4.3200002,-.91000003
-.74000001,-2.1099999,-.28,.73000002,-2.24,-1.6799999,-.75999999,-1.47,.69,-1.75,.63,.66000003
2.1300001,-.98000002,.19,-1.15,-2.1199999,-.19,.079999998,-.81,.81999999,-1.12,-4.0500002,-.86000001
1.65,-1.48,-.19,-.25999999,-2.29,-1.85,-.52999997,-.93000001,-.38,2.79,-3.02,-.57999998
-.70999998,-.68000001,4.77,-.15000001,-1.87,-1.39,-1.3099999,.28,-2.3,-1.46,-.80000001,-.43000001
1.75,1,-.31999999,-2.0899999,-1.26,-.31999999,-.38999999,-.41,-.91000003,-1.25,-2.6500001,.60000002
-.67000002,-.56999999,-1.84,-.81,.30000001,-2.0999999,-2.3399999,-2.1800001,-1.12,-.85000002,-.77999997,.33000001
-1.73,-.41,-2.3,-.029999999,-.44,-.95999998,-.41,-.1,-1.0599999,-1.98,-2.3199999,-1.1900001
.34,-1.96,-.75999999,-2.22,-2.8199999,-2.02,-.1,-.13,-2.71,1.14,1.4299999,.80000001
-.25999999,.23,-.88,-.11,-2.8299999,-1.62,-3.3499999,-2.5599999,-.81,-2.01,.14,.039999999
-1.98,1.59,-1.3099999,-.19,1.47,-.77999997,.47,-.92000002,-.41999999,-1.17,-.92000002,.81999999
-1.14,1.36,-.81999999,-.41,1.23,-1.78,-.61000001,-2.26,-3.3900001,-.91000003,.80000001,.51999998
-2.04,-1.58,-.25999999,.11,-3.3499999,1.5,.81999999,-.66000003,-.92000002,-2.25,-.60000002,-1.36
.18000001,-.33000001,-.090000004,-2.74,-1.9299999,-.98000002,-.22,-1.03,-3.3800001,-.77999997,-.92000002,-1.63
-.22,.57999998,-.07,-.44,-1.2,-2.01,-2.72,-1.72,-2.1300001,1.24,-.86000001,-1.37
-.88,-.75999999,-.92000002,-.61000001,-1.6900001,-1.39,-1.76,.30000001,-.63,-1.98,1.34,-2.1800001
-.98000002,-1.48,-1.15,-1.1,1.3,-.69999999,-1.11,-.64999998,-1.99,-1.88,1.09,-1.49
-2.55,-.11,-.98000002,-2.6600001,-1.39,-2.1600001,1.61,-1.21,-1.51,-1.74,.13,-.49000001
-.029999999,-2.74,-3.2,-3.3499999,-2.3800001,-1.3200001,-.94999999,-1.28,-2.3900001,3.5599999,.77999997,-.44
-.94999999,-.55000001,-3.55,-1.83,2.22,-.52999997,-1.27,-.47999999,-.93000001,-.63,.99000001,-1.86
-.27000001,-2.8,-1.61,-.0099999998,.31999999,-2.3800001,.55000001,1.76,-1.08,-1.5700001,-.94999999,-.72000003
2.6600001,-1.5599999,-3.5799999,-.31999999,-2.71,1.2,1.34,-.87,-.13,-1.12,-1.79,.44
.27000001,-1.23,-2.0899999,.050000001,-2.4000001,.27000001,-3.74,1.62,.34999999,-1.24,-1.62,.63999999
-1.42,-1.23,-1.97,-1.22,-1.12,-.72000003,.40000001,-3.3199999,-2.23,-1.46,-.52999997,.81
-.99000001,-.43000001,.41,-2.95,.22,.55000001,-2.8099999,-2.5799999,-1.05,-1.0599999,-1.42,-.30000001
-.2,-4.2399998,-2.24,-2.77,-2.1700001,-1.47,-2.8199999,-1.04,1.1900001,.75,.059999999,-.57999998
1.49,-.81999999,-1.27,-1.8099999,-2.6300001,-.91000003,-.34,.33000001,-2.1800001,-.62,-1.4299999,-1.55
-.88999999,-.81,.60000002,-.47,-1.35,-3.6500001,-2.5599999,-1.6799999,-1.45,-1.2,-1.26,-.30000001
1.4299999,-.47999999,-2.23,-.36000001,-1.02,-1.4400001,.059999999,-2.0699999,1.29,-1.37,-.43000001,.75
-1.77,-.15000001,-2.3299999,-2.3900001,-1.27,-2.5799999,-.07,-2.79,-1.13,-1.21,.43000001,3.51
.69,.49000001,1.15,.91000003,.95999998,.25,.81999999,-2.2,-.67000002,-.62,-1.58,-2
.41999999,-.0099999998,-1.2,-2.02,1.04,-2.52,-2.52,-.38,1.24,.090000004,.56,-1.41
-.56,.18000001,-2.8299999,.74000001,-2.9100001,-1.65,-1.9,-1.72,1.16,-2.6900001,-.91000003,-1.22
-1.99,.55000001,-1.14,-1.51,-1.74,-1.3200001,-.28,-1.83,-.82999998,.50999999,-2.54,-1.04
.86000001,.75999999,-.090000004,-1.48,-2.1800001,-1,-2.46,-3.8099999,-.43000001,-1.62,-.94,-.090000004
.91000003,-1.08,.68000001,-1.24,-.81,-.51999998,.31999999,-1.42,-1.99,-.17,1.12,-1.34
-1.58,-2.9200001,-.40000001,-1.4299999,-.56999999,-1.37,-.76999998,-1.6900001,.2,-1.71,-.60000002,-1.77
